ctr,tokens,tokens_price,name
101,385,5.0050000000000004e-05,C:\Root\nimue\data\email\ingest-processed\324a5382ced3f6cc3c20c48b8e0080df.txt
102,638,8.294e-05,C:\Root\nimue\data\email\ingest-processed\33188220d7f06d3ab526578c81761083.txt
103,87,1.131e-05,C:\Root\nimue\data\email\ingest-processed\3404fe7ab60dbe0ced93dd59c01f9b93.txt
104,1837,0.00023881,C:\Root\nimue\data\email\ingest-processed\346f7615b597c11b36eb831efa1df42a.txt
105,614,7.982e-05,C:\Root\nimue\data\email\ingest-processed\35307a2dfd3ec85f428000dcdf3754e0.txt
106,157,2.041e-05,C:\Root\nimue\data\email\ingest-processed\353401bc0f4b67919369f5ba4b5d4016.txt
107,218,2.834e-05,C:\Root\nimue\data\email\ingest-processed\358b2ad8e7af9b04e1391ced6116d517.txt
108,431,5.6030000000000004e-05,C:\Root\nimue\data\email\ingest-processed\35b1da0a81ee61fb3cfaff09395f1a5a.txt
109,129,1.677e-05,C:\Root\nimue\data\email\ingest-processed\35e21c470b7bd4ec64649c2c4469002f.txt
110,170,2.2100000000000002e-05,C:\Root\nimue\data\email\ingest-processed\36d4a90caaef5a6113d1f32807f7e8bf.txt
111,858,0.00011154,C:\Root\nimue\data\email\ingest-processed\36d678cc4a06178bb0758d5af1e58917.txt
112,488,6.344e-05,C:\Root\nimue\data\email\ingest-processed\36ff6f052f8f2ac6acc851d632819203.txt
113,437,5.681e-05,C:\Root\nimue\data\email\ingest-processed\3767dba329c2638abad6660fd0184cf2.txt
114,221,2.873e-05,C:\Root\nimue\data\email\ingest-processed\3796038fc54b262e290f2685873a1016.txt
115,719,9.347e-05,C:\Root\nimue\data\email\ingest-processed\388911e24116216fcaf049f356e0b183.txt
116,861,0.00011193000000000001,C:\Root\nimue\data\email\ingest-processed\38d277266daf18fe7a798a49e20834af.txt
117,632,8.216e-05,C:\Root\nimue\data\email\ingest-processed\3993bb3dd01c2e9bdfbf90f92cb9dc99.txt
118,120,1.5600000000000003e-05,C:\Root\nimue\data\email\ingest-processed\3a6f3adb236f706d256f0ee31ad1a794.txt
119,923,0.00011999000000000001,C:\Root\nimue\data\email\ingest-processed\3b25f5da31136a3732157f112555e3f3.txt
120,73,9.49e-06,C:\Root\nimue\data\email\ingest-processed\3bad2eab3c52092d506b452f94310467.txt
121,60,7.800000000000002e-06,C:\Root\nimue\data\email\ingest-processed\3bd1c3d67a1ca29aac69813f7434e45c.txt
122,505,6.565000000000001e-05,C:\Root\nimue\data\email\ingest-processed\3bd23110ce371cbf419170590d4997e8.txt
123,715,9.295000000000001e-05,C:\Root\nimue\data\email\ingest-processed\3c4f106daa1a19e563ba080f575feaee.txt
124,738,9.593999999999999e-05,C:\Root\nimue\data\email\ingest-processed\3c93373cb7e7ff5be15a9990e284da39.txt
125,135,1.755e-05,C:\Root\nimue\data\email\ingest-processed\3ca6db22b2b40e95c6fd2093a834cc2b.txt
126,703,9.139e-05,C:\Root\nimue\data\email\ingest-processed\3cb3d3e09da9062e6d6a4564f0852311.txt
